"mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","isotopes","adduct","pcgroup"
256.940428967067,256.939453125,256.941925048828,31.7072418,30.5443752,32.613363,46466.4233737389,46464.4836976764,39463.30078125,39462,1,"","[M+Na+K-H]+ 195.994 [M+Na+K-H]+ 195.994","48"
258.979483945801,258.978332519531,258.981323242188,31.7072418,30.5443752,32.613363,46184.3159906139,46182.3763145514,37822.75,37822,1,"","[M+K+NH3]+ 202.989 [M+K+NH3]+ 202.989","48"
265.016024255578,265.015838623047,265.016784667969,31.7072418,30.5443752,32.613363,262335.562013701,262333.622337638,292486.9375,292486,1,"","[M+Na]+ 242.028","48"
272.941404698868,272.939788818359,272.9443359375,31.964118,30.4690008,34.422222,142942.820801529,142844.439301545,242939.46875,117,1,"","[3M+2K]2+ 155.986 [3M+2K]2+ 155.986","48"
280.993333179559,280.992309570312,280.994140625,31.7072418,30.5443752,32.613363,55199.9787578749,55198.0390818124,43189.640625,43189,1,"","[M+K]+ 242.028","48"
198.940580068832,198.939468383789,198.941314697266,31.832616,30.4690008,32.7568602,46172.0060660219,46169.9724132219,39347.96875,39347,1,"","[M+H]+ 197.935 [M+H-HCOOH]+ 243.939","48"
202.996511334171,202.995559692383,202.997497558594,31.7072418,30.6207504,32.7568602,34641.5870848509,34639.5844819134,31516.544921875,31516,1,"","[M+H+HCOOH]+ 155.986 [M+H+HCOOH]+ 155.986","48"
219.985072575732,219.984344482422,219.985580444336,31.7072418,30.5443752,32.7568602,143715.638978362,143713.556639538,151284.8125,151284,1,"","","48"
244.946740909895,244.945358276367,244.947982788086,31.7072418,30.5443752,32.7568602,64893.2537992167,64891.1714603931,47025.8359375,47025,1,"","[M+H+HCOOH]+ 197.935 [M+H]+ 243.939","48"
251.899460768547,251.898361206055,251.900085449219,31.832616,30.6207504,32.7568602,95072.2954516394,95070.2928487019,72126.6484375,72126,1,"","[M+K]+ 212.934","48"
259.936593413182,259.935699462891,259.937316894531,31.7072418,30.5443752,32.7568602,178791.494186534,178789.411847711,200136.515625,200136,1,"","[M+H+HCOOH]+ 212.934","48"
267.013873288272,267.012847900391,267.015228271484,31.7072418,30.6207504,32.7568602,84133.3453534264,84131.3427504889,84692.0078125,84691,1,"","","48"
289.889862660025,289.888977050781,289.891510009766,31.7072418,30.5443752,32.7568602,59075.3994293752,58471.3386119915,42815.2265625,25,1,"","[M+Na]+ 266.902","48"
291.976203571099,291.974487304688,291.977386474609,31.832616,30.6207504,32.7568602,45755.764353395,45753.7617504575,37998.46875,37997,1,"","[M+Na+CF3COOH]+ 155.003","48"
292.925866958983,292.925018310547,292.926818847656,31.832616,30.5443752,32.7568602,110896.590787743,110585.236740946,87769.3984375,79,1,"","[M+K+CF3COOH]+ 139.972","48"
298.966257472806,298.964599609375,298.967864990234,31.7072418,30.6207504,32.7568602,102231.471618429,102229.469015491,94290.7265625,94290,1,"","[M+Na+CF3COOH]+ 161.993","48"
156.014391165001,156.013961791992,156.014709472656,31.7072418,30.6207504,32.8804872,64419.102179791,64416.9753686851,61717.5859375,61717,1,"","[M+H]+ 155.003","48"
203.994127476251,203.992950439453,203.994934082031,31.832616,30.6207504,32.8804872,46870.9205651573,46868.7937540514,40081.359375,40080,1,"","[M+H]+ 202.989 [M+H]+ 202.989","48"
216.950943425278,216.950286865234,216.951263427734,31.7072418,30.229377,32.8804872,222990.429190843,222987.904323986,173632.6875,173632,1,"","[M+H-CO]+ 243.939","48"
220.981604341897,220.979949951172,220.982421875,31.7072418,30.5443752,32.8804872,138398.898612691,138396.692284691,135937.5625,135937,1,"","[M+H-CH3]+ 234.986","48"
232.924159531305,232.923355102539,232.926193237305,31.7072418,30.5443752,32.8804872,184431.682848976,184429.476520976,139658.578125,139658,1,"","","48"
235.922100479254,235.921417236328,235.923812866211,31.7072418,30.6207504,32.8804872,133060.688402974,133058.561591868,140508.4375,140507,1,"","[M+Na]+ 212.934","48"
243.001116694753,243.000061035156,243.002075195312,31.7072418,30.5443752,32.8804872,259683.976642722,259681.770314722,283776.6875,283776,1,"","[M+H+HCOOH]+ 195.994 [M+H+HCOOH]+ 195.994 [M+Na+NH3]+ 202.989 [M+Na+NH3]+ 202.989","48"
243.997781590845,243.996185302734,243.998519897461,31.7072418,30.5443752,32.8804872,258062.637855472,258060.431527472,258779.765625,258779,1,"","[3M+2H]2+ 161.993","48"
250.901640396188,250.899795532227,250.902221679688,31.3377462,27.9136452,32.8804872,63906.4317568225,56540.2409969572,43919.1171875,11,1,"","[M+K]+ 211.934","48"
253.931618193712,253.930770874023,253.93359375,31.7072418,30.6207504,32.8804872,179082.706802042,179080.579990936,194687.703125,194687,1,"","[M+K+NH3]+ 197.935","48"
273.949080493595,273.946838378906,273.951446533203,31.7072418,30.5443752,34.2761004,276616.690414529,276416.457884057,171520.84375,166,1,"","[M+K]+ 234.986","48"
274.913626442022,274.911712646484,274.914886474609,31.832616,30.5443752,32.8804872,99769.941387742,99767.735059742,76859.2890625,76858,1,"","","48"
277.947561267912,277.946258544922,277.948089599609,31.7072418,30.5443752,32.8804872,249731.418549789,249729.212221789,242562.59375,242562,1,"","","48"
291.928255696834,291.926055908203,291.929565429688,31.7072418,28.747014,32.8804872,66068.5316902935,64282.3815172663,50823.79296875,20,1,"","[3M+3K-H]2+ 155.986 [3M+3K-H]2+ 155.986","48"
296.966398748163,296.963989257812,296.967559814453,31.7072418,30.6207504,32.8804872,83225.2819840189,83109.1159067512,58135.98828125,93,1,"","","48"
299.964366937601,299.963165283203,299.965301513672,31.7072418,30.5443752,32.8804872,308208.241437203,308206.035109203,314263.125,314262,1,"","[M+H]+ 298.954","48"
187.983599667019,187.982238769531,187.984786987305,31.832616,30.5443752,34.5454728,50720.0842809999,50359.3754844241,38231.890625,44,1,"","","48"
218.983841628025,218.982803344727,218.984466552734,31.7072418,29.776881,32.9559858,409049.489164702,409004.024836649,514898.125,1309,1,"","[M+Na]+ 195.994 [M+Na]+ 195.994","48"
234.961173315329,234.960601806641,234.962127685547,31.7072418,30.3936288,32.9559858,182316.661661128,182314.221321128,127567.2734375,127566,1,"","[M+K]+ 195.994 [M+K]+ 195.994","48"
239.966797987762,239.966186523438,239.967834472656,31.7072418,30.4690008,32.9559858,170942.499032239,170940.136396489,136777.234375,136776,1,"","[M+K+HCOOH]+ 155.003 [M+Na]+ 216.975","48"
241.999872947208,241.999618530273,242.000915527344,31.7072418,30.4690008,32.9559858,797335.184929261,797332.822293511,906426,906425,1,"","","48"
255.939917504017,255.939514160156,255.940689086914,31.7072418,30.5443752,32.9559858,286459.640669119,286457.355985392,201862.1875,201861,1,"","[M+K]+ 216.975","48"
257.93937728058,257.938629150391,257.940979003906,31.7072418,30.4690008,32.9559858,283968.536321638,283966.173685888,288557.03125,288556,1,"","[M+H-COCH2]+ 298.954","48"
258.938037706723,258.936492919922,258.939086914062,31.7072418,30.5443752,32.9559858,300637.539423023,300635.254739297,323604.5625,323604,1,"","[M+H+HCOOH]+ 211.934","48"
282.902811837925,282.900787353516,282.90478515625,31.964118,30.3936288,34.2761004,118224.167523929,114741.468769752,72749.140625,15,1,"","[M+K+HCOOH]+ 197.935 [M+K]+ 243.939","48"
157.988701509325,157.988525390625,157.989624023438,31.832616,30.5443752,35.4565908,119425.444196611,118953.174059045,89917.6015625,100,1,"","[M+H-HCOOH]+ 202.989 [M+H-HCOOH]+ 202.989","48"
161.969840665007,161.969573974609,161.970169067383,31.832616,28.747014,35.3810922,310266.806416073,265892.435743297,238799.265625,28,1,"","","48"
188.978817664539,188.978500366211,188.979522705078,31.832616,30.4690008,34.1356002,84101.6547204466,83286.4679595612,62548.078125,35,1,"","[M+H-CH3]+ 202.989 [M+H-CH3]+ 202.989","48"
251.126770900088,251.125885009766,251.128677368164,17.7882162,13.8081192,20.559321,495171.315989635,495164.459300306,116936.875,116936,1,"","[M+H-CH2]+ 264.136","139"
251.126320504114,251.12532043457,251.127975463867,1.11695718,1.02033492,11.7597594,440981.43364365,440970.576203517,56712.859375,56712,1,"","[M+Na]+ 228.142 [M+H]+ 250.119","203"
251.126370458113,251.125244140625,251.127304077148,29.626008,27.7628952,29.776881,143648.74119825,143646.63964785,86256.0234375,91007,1,"","[M+2Na-H]+ 206.154 [M+Na]+ 228.142","172"
251.1263465715,251.125518798828,251.127227783203,24.816918,23.6103012,26.3285298,210203.158677382,210200.355504138,95135.1796875,95134,1,"","[M+2Na-H]+ 206.154","166"
251.126503369127,251.125717163086,251.127365112305,21.5396892,20.785569,21.6151878,75782.1880316095,75781.2829929186,99232.2734375,99231,1,"","","161"
257.977520122019,257.975799560547,257.978332519531,31.7072418,30.229377,33.1834848,296927.468514128,296924.642845798,200092.625,200092,1,"","[M+Na]+ 234.986","48"
268.961610854262,268.960174560547,268.962371826172,31.832616,30.6207504,33.1834848,149528.301345507,149525.873491865,122923.1171875,122922,1,"","","48"
275.949660839091,275.94921875,275.950714111328,31.832616,30.5443752,33.1834848,305454.213440572,305451.706286452,263173.125,263172,1,"","[3M+2Na+K-H]2+ 155.986 [3M+2Na+K-H]2+ 155.986","48"
276.948355807834,276.947174072266,276.949859619141,31.832616,30.5443752,33.1834848,673251.089147208,673248.581993088,680507.125,680506,1,"","[M+Na+CF3COOH]+ 139.972","48"
284.93803130293,284.937042236328,284.938842773438,31.832616,30.4690008,33.1834848,100858.769166288,100856.183943431,68008.8828125,68008,1,"","[M+H+NH3]+ 266.902 [M+H-CH3]+ 298.954","48"
309.898276457929,309.895599365234,309.901031494141,31.832616,29.2488852,34.5454728,64269.0956271002,63725.8208566909,45442.86328125,34,1,"","","48"
334.914296561652,334.913116455078,334.916351318359,31.964118,30.696249,33.1834848,161699.87264089,161697.523584857,101162.953125,101162,1,"","[M+Na+CF3COOH]+ 197.935 [M+Na+NaCOOH]+ 243.939","48"
391.285191831094,391.283264160156,391.287628173828,15.2231088,14.7663624,15.3273588,63927.1712714839,50770.5739417274,100902.5546875,296,1,"","","160"
152.03680599234,152.035568237305,152.036926269531,31.832616,28.1398932,35.909088,339225.426413034,331547.709132984,340332.40625,134,1,"","","48"
153.032760630969,153.032485961914,153.034515380859,31.832616,30.229377,34.5454728,368064.102147233,367794.804591657,326434.1875,572,1,"","","48"
156.990790484588,156.989532470703,156.991363525391,31.964118,29.022636,34.422222,85519.7093741831,84284.7944671052,66486.4375,46,1,"","[M+H]+ 155.986 [M+H]+ 155.986","48"
163.964717418165,163.964248657227,163.965545654297,31.964118,26.4039042,38.2774458,133202.745773917,109736.16023878,94011.109375,22,1,"","","48"
165.127527154721,165.126586914062,165.128051757812,23.9872968,23.7610488,24.1381698,12297.1892628235,12296.7367176235,37011.8359375,37649,1,"","","151"
165.127383473481,165.126770019531,165.128021240234,1.20508308,1.11695718,11.3115132,130508.332910035,130498.019812666,20412.783203125,20710,1,"","[M+H-C3H2O3]+ 250.119","203"
